date,game_no,team,order,name,avg
2008-03-29,1,KIA 타이거즈,1,이용규,0.0
2008-03-29,1,KIA 타이거즈,2,김원섭,0.0
2008-03-29,1,KIA 타이거즈,3,장성호,0.0
2008-03-29,1,KIA 타이거즈,4,나지완,0.0
2008-03-29,1,KIA 타이거즈,5,최희섭,0.0
2008-03-29,1,KIA 타이거즈,6,이현곤,0.0
2008-03-29,1,KIA 타이거즈,7,발데스,0.0
2008-03-29,1,KIA 타이거즈,8,김상훈,0.0
2008-03-29,1,KIA 타이거즈,9,김종국,0.0
2008-03-29,1,삼성 라이온즈,1,박한이,0.0
2008-03-29,1,삼성 라이온즈,2,신명철,0.0
2008-03-29,1,삼성 라이온즈,3,양준혁,0.0
2008-03-29,1,삼성 라이온즈,4,심정수,0.0
2008-03-29,1,삼성 라이온즈,5,크루즈,0.0
2008-03-29,1,삼성 라이온즈,6,박진만,0.0
2008-03-29,1,삼성 라이온즈,7,조동찬,0.0
2008-03-29,1,삼성 라이온즈,8,진갑용,0.0
2008-03-29,1,삼성 라이온즈,9,허승민,0.0
2008-03-29,2,롯데 자이언츠,1,김주찬,0.0
2008-03-29,2,롯데 자이언츠,2,정수근,0.0
2008-03-29,2,롯데 자이언츠,3,박현승,0.0
2008-03-29,2,롯데 자이언츠,4,이대호,0.0
2008-03-29,2,롯데 자이언츠,5,가르시아,0.0
2008-03-29,2,롯데 자이언츠,6,강민호,0.0
2008-03-29,2,롯데 자이언츠,7,정보명,0.0
2008-03-29,2,롯데 자이언츠,8,조성환,0.0
2008-03-29,2,롯데 자이언츠,9,박기혁,0.0
2008-03-29,2,한화 이글스,1,김수연,0.0
2008-03-29,2,한화 이글스,2,추승우,0.0
2008-03-29,2,한화 이글스,3,클락,0.0
2008-03-29,2,한화 이글스,4,김태완,0.0
2008-03-29,2,한화 이글스,5,이영우,0.0
2008-03-29,2,한화 이글스,6,이범호,0.0
2008-03-29,2,한화 이글스,7,한상훈,0.0
2008-03-29,2,한화 이글스,8,신경현,0.0
2008-03-29,2,한화 이글스,9,김민재,0.0
2008-03-29,3,LG 트윈스,1,이대형,0.0
2008-03-29,3,LG 트윈스,2,이성열,0.0
2008-03-29,3,LG 트윈스,3,박용택,0.0
2008-03-29,3,LG 트윈스,4,최동수,0.0
2008-03-29,3,LG 트윈스,5,이종열,0.0
2008-03-29,3,LG 트윈스,6,조인성,0.0
2008-03-29,3,LG 트윈스,7,김상현,0.0
2008-03-29,3,LG 트윈스,8,오태근,0.0
2008-03-29,3,LG 트윈스,9,권용관,0.0
2008-03-29,3,SK 와이번스,1,정근우,0.0
2008-03-29,3,SK 와이번스,2,조동화,0.0
2008-03-29,3,SK 와이번스,3,이진영,0.0
2008-03-29,3,SK 와이번스,4,박정권,0.0
2008-03-29,3,SK 와이번스,5,김재현,0.0
2008-03-29,3,SK 와이번스,6,박재상,0.0
2008-03-29,3,SK 와이번스,7,최정,0.0
2008-03-29,3,SK 와이번스,8,박경완,0.0
2008-03-29,3,SK 와이번스,9,나주환,0.0
2008-03-30,1,롯데 자이언츠,1,정수근,0.5
2008-03-30,1,롯데 자이언츠,2,김주찬,0.25
2008-03-30,1,롯데 자이언츠,3,박현승,0.2
2008-03-30,1,롯데 자이언츠,4,이대호,0.8
2008-03-30,1,롯데 자이언츠,5,가르시아,0.0
2008-03-30,1,롯데 자이언츠,6,강민호,0.25
2008-03-30,1,롯데 자이언츠,7,마해영,0.0
2008-03-30,1,롯데 자이언츠,8,조성환,0.6
2008-03-30,1,롯데 자이언츠,9,박기혁,0.667
2008-03-30,1,한화 이글스,1,고동진,0.0
2008-03-30,1,한화 이글스,2,추승우,0.25
2008-03-30,1,한화 이글스,3,클락,0.0
2008-03-30,1,한화 이글스,4,김태완,0.667
2008-03-30,1,한화 이글스,5,이영우,0.25
2008-03-30,1,한화 이글스,6,이범호,0.0
2008-03-30,1,한화 이글스,7,한상훈,0.0
2008-03-30,1,한화 이글스,8,신경현,0.333
2008-03-30,1,한화 이글스,9,김민재,0.0
2008-03-30,2,KIA 타이거즈,1,이용규,0.6
2008-03-30,2,KIA 타이거즈,2,이종범,0.0
2008-03-30,2,KIA 타이거즈,3,장성호,0.0
2008-03-30,2,KIA 타이거즈,4,나지완,0.0
2008-03-30,2,KIA 타이거즈,5,최희섭,0.0
2008-03-30,2,KIA 타이거즈,6,이현곤,0.0
2008-03-30,2,KIA 타이거즈,7,발데스,0.0
2008-03-30,2,KIA 타이거즈,8,김상훈,0.25
2008-03-30,2,KIA 타이거즈,9,김종국,0.333
2008-03-30,2,삼성 라이온즈,1,박한이,0.75
2008-03-30,2,삼성 라이온즈,2,신명철,0.75
2008-03-30,2,삼성 라이온즈,3,양준혁,0.25
2008-03-30,2,삼성 라이온즈,4,심정수,0.25
2008-03-30,2,삼성 라이온즈,5,크루즈,0.667
2008-03-30,2,삼성 라이온즈,6,박진만,0.5
2008-03-30,2,삼성 라이온즈,7,조동찬,0.0
2008-03-30,2,삼성 라이온즈,8,진갑용,0.25
2008-03-30,2,삼성 라이온즈,9,허승민,0.0
2008-03-30,3,우리 히어로즈,1,이택근,0.0
2008-03-30,3,우리 히어로즈,2,이숭용,0.0
2008-03-30,3,우리 히어로즈,3,정성훈,0.0
2008-03-30,3,우리 히어로즈,4,브룸바,0.0
2008-03-30,3,우리 히어로즈,5,송지만,0.0
2008-03-30,3,우리 히어로즈,6,황재균,0.0
2008-03-30,3,우리 히어로즈,7,강정호,0.0
2008-03-30,3,우리 히어로즈,8,강귀태,0.0
2008-03-30,3,우리 히어로즈,9,김일경,0.0
2008-03-30,3,두산 베어스,1,이종욱,0.0
2008-03-30,3,두산 베어스,2,민병헌,0.0
2008-03-30,3,두산 베어스,3,고영민,0.0
2008-03-30,3,두산 베어스,4,김동주,0.0
2008-03-30,3,두산 베어스,5,김현수,0.0
2008-03-30,3,두산 베어스,6,채상병,0.0
2008-03-30,3,두산 베어스,7,이대수,0.0
2008-03-30,3,두산 베어스,8,유재웅,0.0
2008-03-30,3,두산 베어스,9,정원석,0.0
2008-03-30,4,LG 트윈스,1,이대형,0.2
2008-03-30,4,LG 트윈스,2,박경수,0.0
2008-03-30,4,LG 트윈스,3,박용택,0.25
2008-03-30,4,LG 트윈스,4,최동수,0.25
2008-03-30,4,LG 트윈스,5,서동욱,0.0
2008-03-30,4,LG 트윈스,6,조인성,0.0
2008-03-30,4,LG 트윈스,7,김상현,0.25
2008-03-30,4,LG 트윈스,8,김준호,0.0
2008-03-30,4,LG 트윈스,9,권용관,0.0
2008-03-30,4,SK 와이번스,1,김강민,0.0
2008-03-30,4,SK 와이번스,2,조동화,0.5
2008-03-30,4,SK 와이번스,3,정근우,0.75
2008-03-30,4,SK 와이번스,4,박경완,0.667
2008-03-30,4,SK 와이번스,5,채종범,0.0
2008-03-30,4,SK 와이번스,6,박재홍,0.0
2008-03-30,4,SK 와이번스,7,모창민,0.0
2008-03-30,4,SK 와이번스,8,최정,0.0
2008-03-30,4,SK 와이번스,9,나주환,0.0
2008-04-01,1,한화 이글스,1,고동진,0.2
2008-04-01,1,한화 이글스,2,추승우,0.375
2008-04-01,1,한화 이글스,3,클락,0.0
2008-04-01,1,한화 이글스,4,김태완,0.429
2008-04-01,1,한화 이글스,5,이영우,0.286
2008-04-01,1,한화 이글스,6,이범호,0.25
2008-04-01,1,한화 이글스,7,한상훈,0.0
2008-04-01,1,한화 이글스,8,신경현,0.2
2008-04-01,1,한화 이글스,9,김민재,0.0
2008-04-01,1,우리 히어로즈,1,이택근,0.0
2008-04-01,1,우리 히어로즈,2,이숭용,0.2
2008-04-01,1,우리 히어로즈,3,정성훈,0.333
2008-04-01,1,우리 히어로즈,4,브룸바,0.5
2008-04-01,1,우리 히어로즈,5,송지만,0.0
2008-04-01,1,우리 히어로즈,6,황재균,0.5
2008-04-01,1,우리 히어로즈,7,김동수,0.0
2008-04-01,1,우리 히어로즈,8,전민수,0.0
2008-04-01,1,우리 히어로즈,9,김일경,0.333
2008-04-01,2,두산 베어스,1,이종욱,0.0
2008-04-01,2,두산 베어스,2,민병헌,0.25
2008-04-01,2,두산 베어스,3,고영민,0.0
2008-04-01,2,두산 베어스,4,김동주,0.5
2008-04-01,2,두산 베어스,5,김현수,0.0
2008-04-01,2,두산 베어스,6,최준석,0.0
2008-04-01,2,두산 베어스,7,유재웅,0.25
2008-04-01,2,두산 베어스,8,채상병,0.0
2008-04-01,2,두산 베어스,9,이대수,0.667
2008-04-01,2,KIA 타이거즈,1,이용규,0.375
2008-04-01,2,KIA 타이거즈,2,김원섭,0.333
2008-04-01,2,KIA 타이거즈,3,장성호,0.0
2008-04-01,2,KIA 타이거즈,4,최희섭,0.0
2008-04-01,2,KIA 타이거즈,5,이현곤,0.333
2008-04-01,2,KIA 타이거즈,6,나지완,0.0
2008-04-01,2,KIA 타이거즈,7,발데스,0.0
2008-04-01,2,KIA 타이거즈,8,김상훈,0.2
2008-04-01,2,KIA 타이거즈,9,김종국,0.2
2008-04-01,3,SK 와이번스,1,이진영,0.2
2008-04-01,3,SK 와이번스,2,조동화,0.5
2008-04-01,3,SK 와이번스,3,김재현,0.0
2008-04-01,3,SK 와이번스,4,박경완,0.286
2008-04-01,3,SK 와이번스,5,정근우,0.429
2008-04-01,3,SK 와이번스,6,박정권,0.2
2008-04-01,3,SK 와이번스,7,최정,0.167
2008-04-01,3,SK 와이번스,8,나주환,0.0
2008-04-01,3,SK 와이번스,9,김강민,0.0
2008-04-01,3,롯데 자이언츠,1,정수근,0.714
2008-04-01,3,롯데 자이언츠,2,김주찬,0.444
2008-04-01,3,롯데 자이언츠,3,박현승,0.222
2008-04-01,3,롯데 자이언츠,4,이대호,0.667
2008-04-01,3,롯데 자이언츠,5,가르시아,0.143
2008-04-01,3,롯데 자이언츠,6,강민호,0.25
2008-04-01,3,롯데 자이언츠,7,마해영,0.333
2008-04-01,3,롯데 자이언츠,8,조성환,0.375
2008-04-01,3,롯데 자이언츠,9,박기혁,0.286
2008-04-01,4,삼성 라이온즈,1,박한이,0.5
2008-04-01,4,삼성 라이온즈,2,신명철,0.5
2008-04-01,4,삼성 라이온즈,3,양준혁,0.286
2008-04-01,4,삼성 라이온즈,4,심정수,0.143
2008-04-01,4,삼성 라이온즈,5,크루즈,0.5
2008-04-01,4,삼성 라이온즈,6,박석민,0.0
2008-04-01,4,삼성 라이온즈,7,허승민,0.0
2008-04-01,4,삼성 라이온즈,8,진갑용,0.143
2008-04-01,4,삼성 라이온즈,9,김재걸,0.0
2008-04-01,4,LG 트윈스,1,이대형,0.1
2008-04-01,4,LG 트윈스,2,이성열,1.0
2008-04-01,4,LG 트윈스,3,박용택,0.375
2008-04-01,4,LG 트윈스,4,최동수,0.2
2008-04-01,4,LG 트윈스,5,이종열,1.0
2008-04-01,4,LG 트윈스,6,조인성,0.143
2008-04-01,4,LG 트윈스,7,김상현,0.143
2008-04-01,4,LG 트윈스,8,박경수,0.25
2008-04-01,4,LG 트윈스,9,권용관,0.0
2008-04-02,1,한화 이글스,1,추승우,0.417
2008-04-02,1,한화 이글스,2,클락,0.182
2008-04-02,1,한화 이글스,3,이범호,0.417
2008-04-02,1,한화 이글스,4,김태완,0.333
2008-04-02,1,한화 이글스,5,이도형,0.0
2008-04-02,1,한화 이글스,6,김민재,0.273
2008-04-02,1,한화 이글스,7,고동진,0.2
2008-04-02,1,한화 이글스,8,신경현,0.3
2008-04-02,1,한화 이글스,9,한상훈,0.0
2008-04-02,1,우리 히어로즈,1,이택근,0.111
2008-04-02,1,우리 히어로즈,2,이숭용,0.25
2008-04-02,1,우리 히어로즈,3,황재균,0.625
2008-04-02,1,우리 히어로즈,4,브룸바,0.714
2008-04-02,1,우리 히어로즈,5,송지만,0.125
2008-04-02,1,우리 히어로즈,6,강정호,0.75
2008-04-02,1,우리 히어로즈,7,정수성,0.0
2008-04-02,1,우리 히어로즈,8,강귀태,0.333
2008-04-02,1,우리 히어로즈,9,김일경,0.286
2008-04-02,2,두산 베어스,1,이종욱,0.222
2008-04-02,2,두산 베어스,2,민병헌,0.222
2008-04-02,2,두산 베어스,3,고영민,0.0
2008-04-02,2,두산 베어스,4,김동주,0.333
2008-04-02,2,두산 베어스,5,최준석,0.0
2008-04-02,2,두산 베어스,6,김현수,0.143
2008-04-02,2,두산 베어스,7,채상병,0.333
2008-04-02,2,두산 베어스,8,이대수,0.4
2008-04-02,2,두산 베어스,9,정원석,0.0
2008-04-02,2,KIA 타이거즈,1,이용규,0.417
2008-04-02,2,KIA 타이거즈,2,이종범,0.0
2008-04-02,2,KIA 타이거즈,3,이현곤,0.2
2008-04-02,2,KIA 타이거즈,4,장성호,0.0
2008-04-02,2,KIA 타이거즈,5,최희섭,0.0
2008-04-02,2,KIA 타이거즈,6,나지완,0.222
2008-04-02,2,KIA 타이거즈,7,발데스,0.0
2008-04-02,2,KIA 타이거즈,8,김상훈,0.125
2008-04-02,2,KIA 타이거즈,9,김선빈,0.0
2008-04-02,3,삼성 라이온즈,1,박한이,0.5
2008-04-02,3,삼성 라이온즈,2,신명철,0.429
2008-04-02,3,삼성 라이온즈,3,양준혁,0.25
2008-04-02,3,삼성 라이온즈,4,심정수,0.222
2008-04-02,3,삼성 라이온즈,5,크루즈,0.375
2008-04-02,3,삼성 라이온즈,6,박진만,0.5
2008-04-02,3,삼성 라이온즈,7,박석민,0.25
2008-04-02,3,삼성 라이온즈,8,진갑용,0.182
2008-04-02,3,삼성 라이온즈,9,허승민,0.0
2008-04-02,3,LG 트윈스,1,이대형,0.071
2008-04-02,3,LG 트윈스,2,박경수,0.286
2008-04-02,3,LG 트윈스,3,박용택,0.333
2008-04-02,3,LG 트윈스,4,최동수,0.125
2008-04-02,3,LG 트윈스,5,조인성,0.182
2008-04-02,3,LG 트윈스,6,이성열,0.25
2008-04-02,3,LG 트윈스,7,서동욱,0.333
2008-04-02,3,LG 트윈스,8,김상현,0.091
2008-04-02,3,LG 트윈스,9,권용관,0.0
2008-04-02,4,SK 와이번스,1,정근우,0.333
2008-04-02,4,SK 와이번스,2,박재상,0.2
2008-04-02,4,SK 와이번스,3,박재홍,0.5
2008-04-02,4,SK 와이번스,4,박경완,0.3
2008-04-02,4,SK 와이번스,5,이진영,0.273
2008-04-02,4,SK 와이번스,6,김강민,0.143
2008-04-02,4,SK 와이번스,7,최정,0.2
2008-04-02,4,SK 와이번스,8,박정권,0.429
2008-04-02,4,SK 와이번스,9,나주환,0.143
2008-04-02,4,롯데 자이언츠,1,정수근,0.5
2008-04-02,4,롯데 자이언츠,2,이우민,0.0
2008-04-02,4,롯데 자이언츠,3,김주찬,0.417
2008-04-02,4,롯데 자이언츠,4,이대호,0.538
2008-04-02,4,롯데 자이언츠,5,가르시아,0.273
2008-04-02,4,롯데 자이언츠,6,강민호,0.417
2008-04-02,4,롯데 자이언츠,7,정보명,0.5
2008-04-02,4,롯데 자이언츠,8,조성환,0.417
2008-04-02,4,롯데 자이언츠,9,박기혁,0.273
2008-04-03,1,한화 이글스,1,클락,0.286
2008-04-03,1,한화 이글스,2,추승우,0.313
2008-04-03,1,한화 이글스,3,이범호,0.357
2008-04-03,1,한화 이글스,4,김태완,0.25
2008-04-03,1,한화 이글스,5,이영우,0.273
2008-04-03,1,한화 이글스,6,윤재국,0.0
2008-04-03,1,한화 이글스,7,신경현,0.308
2008-04-03,1,한화 이글스,8,한상훈,0.0
2008-04-03,1,한화 이글스,9,김민재,0.2
2008-04-03,1,우리 히어로즈,1,이택근,0.25
2008-04-03,1,우리 히어로즈,2,황재균,0.5
2008-04-03,1,우리 히어로즈,3,정성훈,0.333
2008-04-03,1,우리 히어로즈,4,브룸바,0.556
2008-04-03,1,우리 히어로즈,5,송지만,0.182
2008-04-03,1,우리 히어로즈,6,조평호,0.0
2008-04-03,1,우리 히어로즈,7,이숭용,0.182
2008-04-03,1,우리 히어로즈,8,강귀태,0.333
2008-04-03,1,우리 히어로즈,9,김일경,0.222
2008-04-03,2,두산 베어스,1,이종욱,0.25
2008-04-03,2,두산 베어스,2,오재원,0.0
2008-04-03,2,두산 베어스,3,고영민,0.0
2008-04-03,2,두산 베어스,4,김동주,0.2
2008-04-03,2,두산 베어스,5,최준석,0.0
2008-04-03,2,두산 베어스,6,김현수,0.111
2008-04-03,2,두산 베어스,7,채상병,0.222
2008-04-03,2,두산 베어스,8,이대수,0.286
2008-04-03,2,두산 베어스,9,민병헌,0.167
2008-04-03,2,KIA 타이거즈,1,이용규,0.438
2008-04-03,2,KIA 타이거즈,2,이종범,0.125
2008-04-03,2,KIA 타이거즈,3,이현곤,0.267
2008-04-03,2,KIA 타이거즈,4,장성호,0.083
2008-04-03,2,KIA 타이거즈,5,최희섭,0.067
2008-04-03,2,KIA 타이거즈,6,나지완,0.182
2008-04-03,2,KIA 타이거즈,7,발데스,0.0
2008-04-03,2,KIA 타이거즈,8,김상훈,0.25
2008-04-03,2,KIA 타이거즈,9,김선빈,1.0
2008-04-03,3,삼성 라이온즈,1,박한이,0.563
2008-04-03,3,삼성 라이온즈,2,신명철,0.353
2008-04-03,3,삼성 라이온즈,3,양준혁,0.25
2008-04-03,3,삼성 라이온즈,4,심정수,0.333
2008-04-03,3,삼성 라이온즈,5,크루즈,0.25
2008-04-03,3,삼성 라이온즈,6,박진만,0.25
2008-04-03,3,삼성 라이온즈,7,박석민,0.5
2008-04-03,3,삼성 라이온즈,8,진갑용,0.154
2008-04-03,3,삼성 라이온즈,9,최형우,0.0
2008-04-03,3,LG 트윈스,1,이대형,0.059
2008-04-03,3,LG 트윈스,2,박경수,0.182
2008-04-03,3,LG 트윈스,3,박용택,0.357
2008-04-03,3,LG 트윈스,4,최동수,0.231
2008-04-03,3,LG 트윈스,5,조인성,0.231
2008-04-03,3,LG 트윈스,6,김용우,0.0
2008-04-03,3,LG 트윈스,7,김상현,0.067
2008-04-03,3,LG 트윈스,8,이성열,0.167
2008-04-03,3,LG 트윈스,9,권용관,0.0
2008-04-03,4,SK 와이번스,1,정근우,0.308
2008-04-03,4,SK 와이번스,2,조동화,0.429
2008-04-03,4,SK 와이번스,3,김재현,0.286
2008-04-03,4,SK 와이번스,4,이진영,0.267
2008-04-03,4,SK 와이번스,5,박정권,0.375
2008-04-03,4,SK 와이번스,6,박재상,0.2
2008-04-03,4,SK 와이번스,7,최정,0.357
2008-04-03,4,SK 와이번스,8,정상호,0.0
2008-04-03,4,SK 와이번스,9,나주환,0.2
2008-04-03,4,롯데 자이언츠,1,정수근,0.5
2008-04-03,4,롯데 자이언츠,2,김주찬,0.375
2008-04-03,4,롯데 자이언츠,3,박현승,0.25
2008-04-03,4,롯데 자이언츠,4,이대호,0.438
2008-04-03,4,롯데 자이언츠,5,가르시아,0.357
2008-04-03,4,롯데 자이언츠,6,정보명,0.375
2008-04-03,4,롯데 자이언츠,7,최기문,0.0
2008-04-03,4,롯데 자이언츠,8,조성환,0.429
2008-04-03,4,롯데 자이언츠,9,이원석,0.0
2008-04-04,1,KIA 타이거즈,1,이용규,0.4
2008-04-04,1,KIA 타이거즈,2,이종범,0.167
2008-04-04,1,KIA 타이거즈,3,이현곤,0.316
2008-04-04,1,KIA 타이거즈,4,장성호,0.188
2008-04-04,1,KIA 타이거즈,5,최희섭,0.105
2008-04-04,1,KIA 타이거즈,6,김주형,0.0
2008-04-04,1,KIA 타이거즈,7,발데스,0.077
2008-04-04,1,KIA 타이거즈,8,김상훈,0.267
2008-04-04,1,KIA 타이거즈,9,김종국,0.143
2008-04-04,1,한화 이글스,1,추승우,0.263
2008-04-04,1,한화 이글스,2,고동진,0.167
2008-04-04,1,한화 이글스,3,클락,0.278
2008-04-04,1,한화 이글스,4,김태완,0.25
2008-04-04,1,한화 이글스,5,이영우,0.333
2008-04-04,1,한화 이글스,6,이범호,0.294
2008-04-04,1,한화 이글스,7,신경현,0.235
2008-04-04,1,한화 이글스,8,한상훈,0.0
2008-04-04,1,한화 이글스,9,김민재,0.263
2008-04-04,2,우리 히어로즈,1,이택근,0.176
2008-04-04,2,우리 히어로즈,2,이숭용,0.143
2008-04-04,2,우리 히어로즈,3,정성훈,0.333
2008-04-04,2,우리 히어로즈,4,브룸바,0.583
2008-04-04,2,우리 히어로즈,5,송지만,0.286
2008-04-04,2,우리 히어로즈,6,황재균,0.375
2008-04-04,2,우리 히어로즈,7,조평호,0.333
2008-04-04,2,우리 히어로즈,8,강귀태,0.375
2008-04-04,2,우리 히어로즈,9,김일경,0.308
2008-04-04,2,삼성 라이온즈,1,신명철,0.333
2008-04-04,2,삼성 라이온즈,2,강봉규,0.0
2008-04-04,2,삼성 라이온즈,3,양준혁,0.25
2008-04-04,2,삼성 라이온즈,4,심정수,0.4
2008-04-04,2,삼성 라이온즈,5,크루즈,0.313
2008-04-04,2,삼성 라이온즈,6,박진만,0.333
2008-04-04,2,삼성 라이온즈,7,박석민,0.364
2008-04-04,2,삼성 라이온즈,8,진갑용,0.176
2008-04-04,2,삼성 라이온즈,9,박한이,0.45
2008-04-04,3,롯데 자이언츠,1,김주찬,0.5
2008-04-04,3,롯데 자이언츠,2,정수근,0.4
2008-04-04,3,롯데 자이언츠,3,박현승,0.188
2008-04-04,3,롯데 자이언츠,4,이대호,0.368
2008-04-04,3,롯데 자이언츠,5,가르시아,0.333
2008-04-04,3,롯데 자이언츠,6,강민호,0.375
2008-04-04,3,롯데 자이언츠,7,마해영,0.167
2008-04-04,3,롯데 자이언츠,8,조성환,0.353
2008-04-04,3,롯데 자이언츠,9,박기혁,0.357
2008-04-04,3,LG 트윈스,1,이대형,0.095
2008-04-04,3,LG 트윈스,2,이성열,0.25
2008-04-04,3,LG 트윈스,3,박용택,0.353
2008-04-04,3,LG 트윈스,4,최동수,0.176
2008-04-04,3,LG 트윈스,5,조인성,0.313
2008-04-04,3,LG 트윈스,6,김용우,0.25
2008-04-04,3,LG 트윈스,7,박경수,0.133
2008-04-04,3,LG 트윈스,8,김상현,0.056
2008-04-04,3,LG 트윈스,9,권용관,0.125
2008-04-04,4,두산 베어스,1,이종욱,0.25
2008-04-04,4,두산 베어스,2,오재원,0.5
2008-04-04,4,두산 베어스,3,고영민,0.0
2008-04-04,4,두산 베어스,4,김동주,0.333
2008-04-04,4,두산 베어스,5,최준석,0.083
2008-04-04,4,두산 베어스,6,김현수,0.214
2008-04-04,4,두산 베어스,7,채상병,0.167
2008-04-04,4,두산 베어스,8,이대수,0.3
2008-04-04,4,두산 베어스,9,민병헌,0.154
2008-04-04,4,SK 와이번스,1,정근우,0.294
2008-04-04,4,SK 와이번스,2,박재상,0.182
2008-04-04,4,SK 와이번스,3,채종범,0.0
2008-04-04,4,SK 와이번스,4,박재홍,0.385
2008-04-04,4,SK 와이번스,5,최정,0.313
2008-04-04,4,SK 와이번스,6,박경완,0.25
2008-04-04,4,SK 와이번스,7,모창민,0.0
2008-04-04,4,SK 와이번스,8,나주환,0.231
2008-04-04,4,SK 와이번스,9,김강민,0.091
2008-04-05,1,KIA 타이거즈,1,강동우,0.0
2008-04-05,1,KIA 타이거즈,2,김원섭,0.125
2008-04-05,1,KIA 타이거즈,3,이현곤,0.304
2008-04-05,1,KIA 타이거즈,4,장성호,0.2
2008-04-05,1,KIA 타이거즈,5,최희섭,0.136
2008-04-05,1,KIA 타이거즈,6,나지완,0.154
2008-04-05,1,KIA 타이거즈,7,김상훈,0.235
2008-04-05,1,KIA 타이거즈,8,김선빈,0.5
2008-04-05,1,KIA 타이거즈,9,발데스,0.063
2008-04-05,1,한화 이글스,1,추승우,0.304
2008-04-05,1,한화 이글스,2,고동진,0.235
2008-04-05,1,한화 이글스,3,클락,0.286
2008-04-05,1,한화 이글스,4,김태균,0.0
2008-04-05,1,한화 이글스,5,이영우,0.278
2008-04-05,1,한화 이글스,6,이범호,0.3
2008-04-05,1,한화 이글스,7,신경현,0.2
2008-04-05,1,한화 이글스,8,한상훈,0.0
2008-04-05,1,한화 이글스,9,김민재,0.273
2008-04-05,2,우리 히어로즈,1,이택근,0.182
2008-04-05,2,우리 히어로즈,2,이숭용,0.235
2008-04-05,2,우리 히어로즈,3,정성훈,0.25
2008-04-05,2,우리 히어로즈,4,브룸바,0.467
