date,game_no,team,order,name,avg
2012-04-07,1,KIA 타이거즈,1,이용규,0.0
2012-04-07,1,KIA 타이거즈,2,신종길,0.0
2012-04-07,1,KIA 타이거즈,3,안치홍,0.0
2012-04-07,1,KIA 타이거즈,4,나지완,0.0
2012-04-07,1,KIA 타이거즈,5,김상현,0.0
2012-04-07,1,KIA 타이거즈,6,김원섭,0.0
2012-04-07,1,KIA 타이거즈,7,차일목,0.0
2012-04-07,1,KIA 타이거즈,8,박기남,0.0
2012-04-07,1,KIA 타이거즈,9,김선빈,0.0
2012-04-07,1,SK 와이번스,1,정근우,0.0
2012-04-07,1,SK 와이번스,2,박재상,0.0
2012-04-07,1,SK 와이번스,3,최정,0.0
2012-04-07,1,SK 와이번스,4,안치용,0.0
2012-04-07,1,SK 와이번스,5,박정권,0.0
2012-04-07,1,SK 와이번스,6,김강민,0.0
2012-04-07,1,SK 와이번스,7,조인성,0.0
2012-04-07,1,SK 와이번스,8,최윤석,0.0
2012-04-07,1,SK 와이번스,9,임훈,0.0
2012-04-07,2,한화 이글스,1,고동진,0.0
2012-04-07,2,한화 이글스,2,한상훈,0.0
2012-04-07,2,한화 이글스,3,장성호,0.0
2012-04-07,2,한화 이글스,4,김태균,0.0
2012-04-07,2,한화 이글스,5,최진행,0.0
2012-04-07,2,한화 이글스,6,이대수,0.0
2012-04-07,2,한화 이글스,7,강동우,0.0
2012-04-07,2,한화 이글스,8,최승환,0.0
2012-04-07,2,한화 이글스,9,이여상,0.0
2012-04-07,2,롯데 자이언츠,1,김주찬,0.0
2012-04-07,2,롯데 자이언츠,2,조성환,0.0
2012-04-07,2,롯데 자이언츠,3,전준우,0.0
2012-04-07,2,롯데 자이언츠,4,홍성흔,0.0
2012-04-07,2,롯데 자이언츠,5,강민호,0.0
2012-04-07,2,롯데 자이언츠,6,박종윤,0.0
2012-04-07,2,롯데 자이언츠,7,황재균,0.0
2012-04-07,2,롯데 자이언츠,8,황동채,0.0
2012-04-07,2,롯데 자이언츠,9,문규현,0.0
2012-04-07,3,넥센 히어로즈,1,장민석,0.0
2012-04-07,3,넥센 히어로즈,2,김민우,0.0
2012-04-07,3,넥센 히어로즈,3,이택근,0.0
2012-04-07,3,넥센 히어로즈,4,박병호,0.0
2012-04-07,3,넥센 히어로즈,5,강정호,0.0
2012-04-07,3,넥센 히어로즈,6,오재일,0.0
2012-04-07,3,넥센 히어로즈,7,송지만,0.0
2012-04-07,3,넥센 히어로즈,8,허도환,0.0
2012-04-07,3,넥센 히어로즈,9,서건창,0.0
2012-04-07,3,두산 베어스,1,이종욱,0.0
2012-04-07,3,두산 베어스,2,고영민,0.0
2012-04-07,3,두산 베어스,3,김현수,0.0
2012-04-07,3,두산 베어스,4,김동주,0.0
2012-04-07,3,두산 베어스,5,최준석,0.0
2012-04-07,3,두산 베어스,6,양의지,0.0
2012-04-07,3,두산 베어스,7,오재원,0.0
2012-04-07,3,두산 베어스,8,손시헌,0.0
2012-04-07,3,두산 베어스,9,정수빈,0.0
2012-04-07,4,LG 트윈스,1,박용택,0.0
2012-04-07,4,LG 트윈스,2,이대형,0.0
2012-04-07,4,LG 트윈스,3,최동수,0.0
2012-04-07,4,LG 트윈스,4,정성훈,0.0
2012-04-07,4,LG 트윈스,5,이병규,0.0
2012-04-07,4,LG 트윈스,6,이진영,0.0
2012-04-07,4,LG 트윈스,7,김일경,0.0
2012-04-07,4,LG 트윈스,8,심광호,0.0
2012-04-07,4,LG 트윈스,9,오지환,0.0
2012-04-07,4,삼성 라이온즈,1,배영섭,0.0
2012-04-07,4,삼성 라이온즈,2,강봉규,0.0
2012-04-07,4,삼성 라이온즈,3,이승엽,0.0
2012-04-07,4,삼성 라이온즈,4,최형우,0.0
2012-04-07,4,삼성 라이온즈,5,박석민,0.0
2012-04-07,4,삼성 라이온즈,6,채태인,0.0
2012-04-07,4,삼성 라이온즈,7,신명철,0.0
2012-04-07,4,삼성 라이온즈,8,진갑용,0.0
2012-04-07,4,삼성 라이온즈,9,김상수,0.0
2012-04-08,1,넥센 히어로즈,1,장민석,0.2
2012-04-08,1,넥센 히어로즈,2,김민우,0.25
2012-04-08,1,넥센 히어로즈,3,이택근,0.25
2012-04-08,1,넥센 히어로즈,4,박병호,0.0
2012-04-08,1,넥센 히어로즈,5,강정호,0.0
2012-04-08,1,넥센 히어로즈,6,오재일,0.75
2012-04-08,1,넥센 히어로즈,7,송지만,0.333
2012-04-08,1,넥센 히어로즈,8,허도환,0.0
2012-04-08,1,넥센 히어로즈,9,서건창,0.25
2012-04-08,1,두산 베어스,1,이종욱,0.333
2012-04-08,1,두산 베어스,2,정수빈,0.5
2012-04-08,1,두산 베어스,3,이원석,0.0
2012-04-08,1,두산 베어스,4,김동주,0.0
2012-04-08,1,두산 베어스,5,최준석,0.0
2012-04-08,1,두산 베어스,6,이성열,0.0
2012-04-08,1,두산 베어스,7,양의지,0.333
2012-04-08,1,두산 베어스,8,손시헌,0.0
