date,game_no,team,order,name,avg
2019-03-23,1,한화 이글스,1,정근우,0.0
2019-03-23,1,한화 이글스,2,송광민,0.0
2019-03-23,1,한화 이글스,3,호잉,0.0
2019-03-23,1,한화 이글스,4,김태균,0.0
2019-03-23,1,한화 이글스,5,이성열,0.0
2019-03-23,1,한화 이글스,6,하주석,0.0
2019-03-23,1,한화 이글스,7,김민하,0.0
2019-03-23,1,한화 이글스,8,최재훈,0.0
2019-03-23,1,한화 이글스,9,정은원,0.0
2019-03-23,1,두산 베어스,1,허경민,0.0
2019-03-23,1,두산 베어스,2,정수빈,0.0
2019-03-23,1,두산 베어스,3,박건우,0.0
2019-03-23,1,두산 베어스,4,김재환,0.0
2019-03-23,1,두산 베어스,5,오재일,0.0
2019-03-23,1,두산 베어스,6,페르난데스,0.0
2019-03-23,1,두산 베어스,7,오재원,0.0
2019-03-23,1,두산 베어스,8,박세혁,0.0
2019-03-23,1,두산 베어스,9,김재호,0.0
2019-03-23,2,KT 위즈,1,황재균,0.0
2019-03-23,2,KT 위즈,2,박경수,0.0
2019-03-23,2,KT 위즈,3,강백호,0.0
2019-03-23,2,KT 위즈,4,로하스,0.0
2019-03-23,2,KT 위즈,5,유한준,0.0
2019-03-23,2,KT 위즈,6,윤석민,0.0
2019-03-23,2,KT 위즈,7,오태곤,0.0
2019-03-23,2,KT 위즈,8,장성우,0.0
2019-03-23,2,KT 위즈,9,배정대,0.0
2019-03-23,2,SK 와이번스,1,노수광,0.0
2019-03-23,2,SK 와이번스,2,한유섬,0.0
2019-03-23,2,SK 와이번스,3,최정,0.0
2019-03-23,2,SK 와이번스,4,로맥,0.0
2019-03-23,2,SK 와이번스,5,이재원,0.0
2019-03-23,2,SK 와이번스,6,정의윤,0.0
2019-03-23,2,SK 와이번스,7,김강민,0.0
2019-03-23,2,SK 와이번스,8,최항,0.0
2019-03-23,2,SK 와이번스,9,김성현,0.0
2019-03-23,3,키움 히어로즈,1,서건창,0.0
2019-03-23,3,키움 히어로즈,2,김하성,0.0
2019-03-23,3,키움 히어로즈,3,박병호,0.0
2019-03-23,3,키움 히어로즈,4,샌즈,0.0
2019-03-23,3,키움 히어로즈,5,장영석,0.0
2019-03-23,3,키움 히어로즈,6,임병욱,0.0
2019-03-23,3,키움 히어로즈,7,허정협,0.0
2019-03-23,3,키움 히어로즈,8,김혜성,0.0
2019-03-23,3,키움 히어로즈,9,주효상,0.0
2019-03-23,3,롯데 자이언츠,1,민병헌,0.0
2019-03-23,3,롯데 자이언츠,2,손아섭,0.0
2019-03-23,3,롯데 자이언츠,3,전준우,0.0
2019-03-23,3,롯데 자이언츠,4,이대호,0.0
2019-03-23,3,롯데 자이언츠,5,채태인,0.0
2019-03-23,3,롯데 자이언츠,6,한동희,0.0
2019-03-23,3,롯데 자이언츠,7,아수아헤,0.0
2019-03-23,3,롯데 자이언츠,8,안중열,0.0
2019-03-23,3,롯데 자이언츠,9,신본기,0.0
2019-03-23,4,삼성 라이온즈,1,박해민,0.0
2019-03-23,4,삼성 라이온즈,2,구자욱,0.0
2019-03-23,4,삼성 라이온즈,3,이원석,0.0
2019-03-23,4,삼성 라이온즈,4,러프,0.0
2019-03-23,4,삼성 라이온즈,5,김동엽,0.0
2019-03-23,4,삼성 라이온즈,6,김헌곤,0.0
2019-03-23,4,삼성 라이온즈,7,강민호,0.0
