date,game_no,team,order,name,avg
2017-03-31,1,롯데 자이언츠,1,전준우,0.0
2017-03-31,1,롯데 자이언츠,2,번즈,0.0
2017-03-31,1,롯데 자이언츠,3,손아섭,0.0
2017-03-31,1,롯데 자이언츠,4,이대호,0.0
2017-03-31,1,롯데 자이언츠,5,최준석,0.0
2017-03-31,1,롯데 자이언츠,6,강민호,0.0
2017-03-31,1,롯데 자이언츠,7,김문호,0.0
2017-03-31,1,롯데 자이언츠,8,신본기,0.0
2017-03-31,1,롯데 자이언츠,9,문규현,0.0
2017-03-31,1,NC 다이노스,1,김성욱,0.0
2017-03-31,1,NC 다이노스,2,지석훈,0.0
2017-03-31,1,NC 다이노스,3,나성범,0.0
2017-03-31,1,NC 다이노스,4,스크럭스,0.0
2017-03-31,1,NC 다이노스,5,박석민,0.0
2017-03-31,1,NC 다이노스,6,권희동,0.0
2017-03-31,1,NC 다이노스,7,모창민,0.0
2017-03-31,1,NC 다이노스,8,손시헌,0.0
2017-03-31,1,NC 다이노스,9,김태군,0.0
2017-03-31,2,한화 이글스,1,김원석,0.0
2017-03-31,2,한화 이글스,2,장민석,0.0
2017-03-31,2,한화 이글스,3,김태균,0.0
2017-03-31,2,한화 이글스,4,로사리오,0.0
2017-03-31,2,한화 이글스,5,최진행,0.0
2017-03-31,2,한화 이글스,6,임익준,0.0
2017-03-31,2,한화 이글스,7,조인성,0.0
2017-03-31,2,한화 이글스,8,강경학,0.0
2017-03-31,2,한화 이글스,9,신성현,0.0
2017-03-31,2,두산 베어스,1,민병헌,0.0
2017-03-31,2,두산 베어스,2,오재원,0.0
2017-03-31,2,두산 베어스,3,에반스,0.0
2017-03-31,2,두산 베어스,4,김재환,0.0
2017-03-31,2,두산 베어스,5,양의지,0.0
2017-03-31,2,두산 베어스,6,오재일,0.0
2017-03-31,2,두산 베어스,7,박건우,0.0
2017-03-31,2,두산 베어스,8,허경민,0.0
2017-03-31,2,두산 베어스,9,김재호,0.0
2017-03-31,3,KT 위즈,1,이대형,0.0
2017-03-31,3,KT 위즈,2,하준호,0.0
2017-03-31,3,KT 위즈,3,유한준,0.0
2017-03-31,3,KT 위즈,4,모넬,0.0
2017-03-31,3,KT 위즈,5,박경수,0.0
2017-03-31,3,KT 위즈,6,이진영,0.0
2017-03-31,3,KT 위즈,7,이해창,0.0
2017-03-31,3,KT 위즈,8,박기혁,0.0
2017-03-31,3,KT 위즈,9,심우준,0.0
2017-03-31,3,SK 와이번스,1,김강민,0.0
2017-03-31,3,SK 와이번스,2,김성현,0.0
2017-03-31,3,SK 와이번스,3,최정,0.0
2017-03-31,3,SK 와이번스,4,정의윤,0.0
2017-03-31,3,SK 와이번스,5,박정권,0.0
2017-03-31,3,SK 와이번스,6,김동엽,0.0
2017-03-31,3,SK 와이번스,7,한유섬,0.0
2017-03-31,3,SK 와이번스,8,이재원,0.0
2017-03-31,3,SK 와이번스,9,박승욱,0.0
2017-03-31,4,KIA 타이거즈,1,버나디나,0.0
2017-03-31,4,KIA 타이거즈,2,서동욱,0.0
2017-03-31,4,KIA 타이거즈,3,김주찬,0.0
2017-03-31,4,KIA 타이거즈,4,최형우,0.0
2017-03-31,4,KIA 타이거즈,5,나지완,0.0
2017-03-31,4,KIA 타이거즈,6,이범호,0.0
