date,game_no,team,order,name,avg
2011-04-02,1,삼성 라이온즈,1,이영욱,0.0
2011-04-02,1,삼성 라이온즈,2,박한이,0.0
2011-04-02,1,삼성 라이온즈,3,채태인,0.0
2011-04-02,1,삼성 라이온즈,4,최형우,0.0
2011-04-02,1,삼성 라이온즈,5,박석민,0.0
2011-04-02,1,삼성 라이온즈,6,가코,0.0
2011-04-02,1,삼성 라이온즈,7,신명철,0.0
2011-04-02,1,삼성 라이온즈,8,현재윤,0.0
2011-04-02,1,삼성 라이온즈,9,김상수,0.0
2011-04-02,1,KIA 타이거즈,1,이용규,0.0
2011-04-02,1,KIA 타이거즈,2,이종범,0.0
2011-04-02,1,KIA 타이거즈,3,이범호,0.0
2011-04-02,1,KIA 타이거즈,4,최희섭,0.0
2011-04-02,1,KIA 타이거즈,5,김상현,0.0
2011-04-02,1,KIA 타이거즈,6,김주형,0.0
2011-04-02,1,KIA 타이거즈,7,김선빈,0.0
2011-04-02,1,KIA 타이거즈,8,김상훈,0.0
2011-04-02,1,KIA 타이거즈,9,이현곤,0.0
2011-04-02,2,LG 트윈스,1,이대형,0.0
2011-04-02,2,LG 트윈스,2,박경수,0.0
2011-04-02,2,LG 트윈스,3,이진영,0.0
2011-04-02,2,LG 트윈스,4,박용택,0.0
2011-04-02,2,LG 트윈스,5,정성훈,0.0
2011-04-02,2,LG 트윈스,6,정의윤,0.0
2011-04-02,2,LG 트윈스,7,조인성,0.0
2011-04-02,2,LG 트윈스,8,오지환,0.0
2011-04-02,2,LG 트윈스,9,서동욱,0.0
2011-04-02,2,두산 베어스,1,이종욱,0.0
2011-04-02,2,두산 베어스,2,오재원,0.0
2011-04-02,2,두산 베어스,3,김현수,0.0
2011-04-02,2,두산 베어스,4,김동주,0.0
2011-04-02,2,두산 베어스,5,김재환,0.0
2011-04-02,2,두산 베어스,6,임재철,0.0
2011-04-02,2,두산 베어스,7,고영민,0.0
2011-04-02,2,두산 베어스,8,양의지,0.0
2011-04-02,2,두산 베어스,9,손시헌,0.0
2011-04-02,3,넥센 히어로즈,1,장민석,0.0
2011-04-02,3,넥센 히어로즈,2,유한준,0.0
2011-04-02,3,넥센 히어로즈,3,알드리지,0.0
2011-04-02,3,넥센 히어로즈,4,강정호,0.0
2011-04-02,3,넥센 히어로즈,5,송지만,0.0
2011-04-02,3,넥센 히어로즈,6,장영석,0.0
2011-04-02,3,넥센 히어로즈,7,이숭용,0.0
2011-04-02,3,넥센 히어로즈,8,허준,0.0
2011-04-02,3,넥센 히어로즈,9,김민우,0.0
2011-04-02,3,SK 와이번스,1,박재상,0.0
2011-04-02,3,SK 와이번스,2,정근우,0.0
2011-04-02,3,SK 와이번스,3,안치용,0.0
2011-04-02,3,SK 와이번스,4,박정권,0.0
2011-04-02,3,SK 와이번스,5,최정,0.0
2011-04-02,3,SK 와이번스,6,김강민,0.0
2011-04-02,3,SK 와이번스,7,정상호,0.0
2011-04-02,3,SK 와이번스,8,임훈,0.0
2011-04-02,3,SK 와이번스,9,박진만,0.0
2011-04-02,4,한화 이글스,1,강동우,0.0
