date,game_no,team,order,name,avg
2003-04-05,1,한화 이글스,1,고지행,0.0
2003-04-05,1,한화 이글스,2,김수연,0.0
2003-04-05,1,한화 이글스,3,이영우,0.0
2003-04-05,1,한화 이글스,4,송지만,0.0
2003-04-05,1,한화 이글스,5,김태균,0.0
2003-04-05,1,한화 이글스,6,장종훈,0.0
2003-04-05,1,한화 이글스,7,이범호,0.0
2003-04-05,1,한화 이글스,8,임수민,0.0
2003-04-05,1,한화 이글스,9,채상병,0.0
2003-04-05,1,KIA 타이거즈,1,이종범,0.0
2003-04-05,1,KIA 타이거즈,2,김종국,0.0
2003-04-05,1,KIA 타이거즈,3,장성호,0.0
2003-04-05,1,KIA 타이거즈,4,박재홍,0.0
2003-04-05,1,KIA 타이거즈,5,홍세완,0.0
2003-04-05,1,KIA 타이거즈,6,신동주,0.0
2003-04-05,1,KIA 타이거즈,7,김경언,0.0
2003-04-05,1,KIA 타이거즈,8,김상훈,0.0
2003-04-05,1,KIA 타이거즈,9,이현곤,0.0
2003-04-05,2,두산 베어스,1,정수근,0.0
2003-04-05,2,두산 베어스,2,장원진,0.0
2003-04-05,2,두산 베어스,3,홍성흔,0.0
2003-04-05,2,두산 베어스,4,김동주,0.0
2003-04-05,2,두산 베어스,5,쿨바,0.0
2003-04-05,2,두산 베어스,6,안경현,0.0
2003-04-05,2,두산 베어스,7,김창희,0.0
2003-04-05,2,두산 베어스,8,강봉규,0.0
2003-04-05,2,두산 베어스,9,홍원기,0.0
2003-04-05,2,삼성 라이온즈,1,박한이,0.0
2003-04-05,2,삼성 라이온즈,2,강동우,0.0
2003-04-05,2,삼성 라이온즈,3,이승엽,0.0
2003-04-05,2,삼성 라이온즈,4,브리또,0.0
2003-04-05,2,삼성 라이온즈,5,마해영,0.0
2003-04-05,2,삼성 라이온즈,6,양준혁,0.0
2003-04-05,2,삼성 라이온즈,7,김한수,0.0
2003-04-05,2,삼성 라이온즈,8,진갑용,0.0
2003-04-05,2,삼성 라이온즈,9,박정환,0.0
2003-04-05,3,SK 와이번스,1,채종범,0.0
2003-04-05,3,SK 와이번스,2,조원우,0.0
2003-04-05,3,SK 와이번스,3,디아즈,0.0
2003-04-05,3,SK 와이번스,4,이호준,0.0
2003-04-05,3,SK 와이번스,5,조경환,0.0
2003-04-05,3,SK 와이번스,6,박경완,0.0
2003-04-05,3,SK 와이번스,7,안재만,0.0
2003-04-05,3,SK 와이번스,8,정경배,0.0
2003-04-05,3,SK 와이번스,9,김민재,0.0
2003-04-05,3,LG 트윈스,1,류지현,0.0
2003-04-05,3,LG 트윈스,2,박용택,0.0
2003-04-05,3,LG 트윈스,3,마르티네스,0.0
2003-04-05,3,LG 트윈스,4,이병규,0.0
2003-04-05,3,LG 트윈스,5,홍현우,0.0
2003-04-05,3,LG 트윈스,6,쿡슨,0.0
2003-04-05,3,LG 트윈스,7,이종열,0.0
2003-04-05,3,LG 트윈스,8,조인성,0.0
2003-04-05,3,LG 트윈스,9,권용관,0.0
2003-04-05,4,롯데 자이언츠,1,조성환,0.0
2003-04-05,4,롯데 자이언츠,2,윤재국,0.0
2003-04-05,4,롯데 자이언츠,3,김응국,0.0
2003-04-05,4,롯데 자이언츠,4,보이,0.0
2003-04-05,4,롯데 자이언츠,5,최기문,0.0
2003-04-05,4,롯데 자이언츠,6,박현승,0.0
2003-04-05,4,롯데 자이언츠,7,김주찬,0.0
2003-04-05,4,롯데 자이언츠,8,김태균,0.0
2003-04-05,4,롯데 자이언츠,9,박기혁,0.0
2003-04-05,4,현대 유니콘스,1,전준호,0.0
2003-04-05,4,현대 유니콘스,2,박종호,0.0
2003-04-05,4,현대 유니콘스,3,프랭클린,0.0
2003-04-05,4,현대 유니콘스,4,심정수,0.0
2003-04-05,4,현대 유니콘스,5,이숭용,0.0
2003-04-05,4,현대 유니콘스,6,전근표,0.0
2003-04-05,4,현대 유니콘스,7,정성훈,0.0
2003-04-05,4,현대 유니콘스,8,강귀태,0.0
2003-04-05,4,현대 유니콘스,9,박진만,0.0
2003-04-06,1,한화 이글스,1,고지행,0.2
2003-04-06,1,한화 이글스,2,김수연,0.5
2003-04-06,1,한화 이글스,3,이영우,0.5
2003-04-06,1,한화 이글스,4,송지만,0.5
2003-04-06,1,한화 이글스,5,김태균,0.333
2003-04-06,1,한화 이글스,6,김종석,0.0
2003-04-06,1,한화 이글스,7,이범호,0.0
2003-04-06,1,한화 이글스,8,임수민,0.5
2003-04-06,1,한화 이글스,9,채상병,0.0
2003-04-06,1,KIA 타이거즈,1,이종범,0.5
2003-04-06,1,KIA 타이거즈,2,김종국,0.25
2003-04-06,1,KIA 타이거즈,3,장성호,0.75
2003-04-06,1,KIA 타이거즈,4,박재홍,0.5
2003-04-06,1,KIA 타이거즈,5,홍세완,0.5
2003-04-06,1,KIA 타이거즈,6,김경언,0.0
2003-04-06,1,KIA 타이거즈,7,신동주,0.333
2003-04-06,1,KIA 타이거즈,8,김상훈,0.25
2003-04-06,1,KIA 타이거즈,9,이현곤,0.0
2003-04-06,2,두산 베어스,1,정수근,0.4
2003-04-06,2,두산 베어스,2,장원진,0.4
2003-04-06,2,두산 베어스,3,김동주,0.5
2003-04-06,2,두산 베어스,4,심재학,0.0
2003-04-06,2,두산 베어스,5,안경현,0.333
2003-04-06,2,두산 베어스,6,최경환,0.0
2003-04-06,2,두산 베어스,7,홍성흔,0.0
2003-04-06,2,두산 베어스,8,전상렬,0.0
2003-04-06,2,두산 베어스,9,김민호,0.0
2003-04-06,2,삼성 라이온즈,1,박한이,0.6
2003-04-06,2,삼성 라이온즈,2,강동우,0.667
2003-04-06,2,삼성 라이온즈,3,이승엽,0.75
2003-04-06,2,삼성 라이온즈,4,브리또,0.0
2003-04-06,2,삼성 라이온즈,5,마해영,0.25
2003-04-06,2,삼성 라이온즈,6,양준혁,0.0
2003-04-06,2,삼성 라이온즈,7,김한수,0.5
2003-04-06,2,삼성 라이온즈,8,진갑용,0.333
2003-04-06,2,삼성 라이온즈,9,박정환,0.0
2003-04-06,3,SK 와이번스,1,채종범,0.0
2003-04-06,3,SK 와이번스,2,이진영,0.0
2003-04-06,3,SK 와이번스,3,디아즈,0.0
2003-04-06,3,SK 와이번스,4,이호준,0.0
2003-04-06,3,SK 와이번스,5,조경환,0.0
2003-04-06,3,SK 와이번스,6,강혁,0.0
2003-04-06,3,SK 와이번스,7,안재만,0.25
2003-04-06,3,SK 와이번스,8,박경완,0.333
2003-04-06,3,SK 와이번스,9,김민재,0.25
2003-04-06,3,LG 트윈스,1,류지현,0.0
2003-04-06,3,LG 트윈스,2,박용택,0.25
2003-04-06,3,LG 트윈스,3,마르티네스,0.5
2003-04-06,3,LG 트윈스,4,이병규,0.25
2003-04-06,3,LG 트윈스,5,홍현우,0.0
2003-04-06,3,LG 트윈스,6,쿡슨,0.0
2003-04-06,3,LG 트윈스,7,이종열,0.0
2003-04-06,3,LG 트윈스,8,조인성,0.333
2003-04-06,3,LG 트윈스,9,권용관,0.0
2003-04-06,4,롯데 자이언츠,1,조성환,0.5
2003-04-06,4,롯데 자이언츠,2,김대익,0.0
2003-04-06,4,롯데 자이언츠,3,김응국,0.25
2003-04-06,4,롯데 자이언츠,4,보이,0.0
2003-04-06,4,롯데 자이언츠,5,이동욱,0.0
2003-04-06,4,롯데 자이언츠,6,김주찬,0.25
2003-04-06,4,롯데 자이언츠,7,박현승,0.0
2003-04-06,4,롯데 자이언츠,8,최기문,0.0
2003-04-06,4,롯데 자이언츠,9,박기혁,0.25
2003-04-06,4,현대 유니콘스,1,전준호,0.0
2003-04-06,4,현대 유니콘스,2,박종호,0.0
2003-04-06,4,현대 유니콘스,3,프랭클린,0.25
2003-04-06,4,현대 유니콘스,4,심정수,0.333
2003-04-06,4,현대 유니콘스,5,이숭용,0.0
2003-04-06,4,현대 유니콘스,6,전근표,0.75
2003-04-06,4,현대 유니콘스,7,정성훈,0.5
2003-04-06,4,현대 유니콘스,8,강귀태,0.0
2003-04-06,4,현대 유니콘스,9,박진만,0.333
2003-04-08,1,LG 트윈스,1,류지현,0.222
2003-04-08,1,LG 트윈스,2,박용택,0.286
2003-04-08,1,LG 트윈스,3,마르티네스,0.375
2003-04-08,1,LG 트윈스,4,이병규,0.143
2003-04-08,1,LG 트윈스,5,홍현우,0.0
2003-04-08,1,LG 트윈스,6,쿡슨,0.0
2003-04-08,1,LG 트윈스,7,조인성,0.429
2003-04-08,1,LG 트윈스,8,박경수,0.0
2003-04-08,1,LG 트윈스,9,이종열,0.0
2003-04-08,1,한화 이글스,1,고지행,0.143
2003-04-08,1,한화 이글스,2,김수연,0.333
2003-04-08,1,한화 이글스,3,이영우,0.4
2003-04-08,1,한화 이글스,4,송지만,0.286
2003-04-08,1,한화 이글스,5,김태균,0.2
2003-04-08,1,한화 이글스,6,김종석,0.4
2003-04-08,1,한화 이글스,7,임수민,0.286
2003-04-08,1,한화 이글스,8,이범호,0.0
2003-04-08,1,한화 이글스,9,조경택,0.0
2003-04-08,2,KIA 타이거즈,1,이종범,0.571
2003-04-08,2,KIA 타이거즈,2,김종국,0.375
2003-04-08,2,KIA 타이거즈,3,장성호,0.556
2003-04-08,2,KIA 타이거즈,4,박재홍,0.429
2003-04-08,2,KIA 타이거즈,5,홍세완,0.5
2003-04-08,2,KIA 타이거즈,6,김경언,0.0
2003-04-08,2,KIA 타이거즈,7,신동주,0.571
2003-04-08,2,KIA 타이거즈,8,김상훈,0.333
2003-04-08,2,KIA 타이거즈,9,이현곤,0.0
2003-04-08,2,두산 베어스,1,정수근,0.222
2003-04-08,2,두산 베어스,2,장원진,0.3
2003-04-08,2,두산 베어스,3,김동주,0.625
2003-04-08,2,두산 베어스,4,심재학,0.25
2003-04-08,2,두산 베어스,5,안경현,0.4
2003-04-08,2,두산 베어스,6,홍성흔,0.143
2003-04-08,2,두산 베어스,7,최경환,0.0
2003-04-08,2,두산 베어스,8,쿨바,0.0
2003-04-08,2,두산 베어스,9,전상렬,0.0
2003-04-08,3,현대 유니콘스,1,정성훈,0.4
2003-04-08,3,현대 유니콘스,2,박종호,0.25
2003-04-08,3,현대 유니콘스,3,프랭클린,0.429
2003-04-08,3,현대 유니콘스,4,심정수,0.2
2003-04-08,3,현대 유니콘스,5,최익성,0.0
2003-04-08,3,현대 유니콘스,6,이숭용,0.0
2003-04-08,3,현대 유니콘스,7,이택근,0.0
2003-04-08,3,현대 유니콘스,8,김동수,0.0
2003-04-08,3,현대 유니콘스,9,박진만,0.4
2003-04-08,3,SK 와이번스,1,채종범,0.0
2003-04-08,3,SK 와이번스,2,이진영,0.333
2003-04-08,3,SK 와이번스,3,디아즈,0.0
2003-04-08,3,SK 와이번스,4,이호준,0.167
2003-04-08,3,SK 와이번스,5,조경환,0.0
2003-04-08,3,SK 와이번스,6,김기태,0.0
2003-04-08,3,SK 와이번스,7,안재만,0.286
2003-04-08,3,SK 와이번스,8,박경완,0.333
2003-04-08,3,SK 와이번스,9,김민재,0.286
2003-04-08,4,삼성 라이온즈,1,박한이,0.5
2003-04-08,4,삼성 라이온즈,2,강동우,0.4
2003-04-08,4,삼성 라이온즈,3,이승엽,0.375
2003-04-08,4,삼성 라이온즈,4,브리또,0.167
2003-04-08,4,삼성 라이온즈,5,마해영,0.625
2003-04-08,4,삼성 라이온즈,6,양준혁,0.143
2003-04-08,4,삼성 라이온즈,7,김한수,0.375
2003-04-08,4,삼성 라이온즈,8,진갑용,0.167
2003-04-08,4,삼성 라이온즈,9,박정환,0.167
2003-04-08,4,롯데 자이언츠,1,조성환,0.375
2003-04-08,4,롯데 자이언츠,2,이우민,0.0
2003-04-08,4,롯데 자이언츠,3,이동욱,0.667
2003-04-08,4,롯데 자이언츠,4,보이,0.143
2003-04-08,4,롯데 자이언츠,5,김응국,0.143
2003-04-08,4,롯데 자이언츠,6,김주찬,0.125
2003-04-08,4,롯데 자이언츠,7,박현승,0.0
2003-04-08,4,롯데 자이언츠,8,최기문,0.2
2003-04-08,4,롯데 자이언츠,9,박기혁,0.167
2003-04-09,1,LG 트윈스,1,류지현,0.25
2003-04-09,1,LG 트윈스,2,박용택,0.3
2003-04-09,1,LG 트윈스,3,마르티네스,0.25
2003-04-09,1,LG 트윈스,4,이병규,0.273
2003-04-09,1,LG 트윈스,5,최동수,0.0
2003-04-09,1,LG 트윈스,6,쿡슨,0.0
2003-04-09,1,LG 트윈스,7,조인성,0.4
2003-04-09,1,LG 트윈스,8,이종열,0.111
2003-04-09,1,LG 트윈스,9,권용관,0.0
2003-04-09,1,한화 이글스,1,고지행,0.111
2003-04-09,1,한화 이글스,2,임수민,0.273
2003-04-09,1,한화 이글스,3,이영우,0.375
2003-04-09,1,한화 이글스,4,송지만,0.3
2003-04-09,1,한화 이글스,5,김태균,0.444
2003-04-09,1,한화 이글스,6,백재호,0.0
2003-04-09,1,한화 이글스,7,이범호,0.0
2003-04-09,1,한화 이글스,8,조경택,0.5
2003-04-09,1,한화 이글스,9,조윤채,0.0
2003-04-09,2,KIA 타이거즈,1,이종범,0.583
2003-04-09,2,KIA 타이거즈,2,김종국,0.308
2003-04-09,2,KIA 타이거즈,3,장성호,0.5
2003-04-09,2,KIA 타이거즈,4,박재홍,0.455
2003-04-09,2,KIA 타이거즈,5,홍세완,0.333
2003-04-09,2,KIA 타이거즈,6,김경언,0.0
2003-04-09,2,KIA 타이거즈,7,신동주,0.364
2003-04-09,2,KIA 타이거즈,8,김상훈,0.4
2003-04-09,2,KIA 타이거즈,9,이현곤,0.111
2003-04-09,2,두산 베어스,1,정수근,0.154
2003-04-09,2,두산 베어스,2,장원진,0.231
2003-04-09,2,두산 베어스,3,김동주,0.455
