date,game_no,team,order,name,avg
2010-03-27,1,KIA 타이거즈,1,이용규,0.0
2010-03-27,1,KIA 타이거즈,2,김원섭,0.0
2010-03-27,1,KIA 타이거즈,3,나지완,0.0
2010-03-27,1,KIA 타이거즈,4,최희섭,0.0
2010-03-27,1,KIA 타이거즈,5,김상현,0.0
2010-03-27,1,KIA 타이거즈,6,이종범,0.0
2010-03-27,1,KIA 타이거즈,7,안치홍,0.0
2010-03-27,1,KIA 타이거즈,8,김상훈,0.0
2010-03-27,1,KIA 타이거즈,9,이현곤,0.0
2010-03-27,1,두산 베어스,1,이종욱,0.0
2010-03-27,1,두산 베어스,2,고영민,0.0
2010-03-27,1,두산 베어스,3,이성열,0.0
2010-03-27,1,두산 베어스,4,김현수,0.0
2010-03-27,1,두산 베어스,5,김동주,0.0
2010-03-27,1,두산 베어스,6,최준석,0.0
2010-03-27,1,두산 베어스,7,유재웅,0.0
2010-03-27,1,두산 베어스,8,최승환,0.0
2010-03-27,1,두산 베어스,9,손시헌,0.0
2010-03-27,2,한화 이글스,1,강동우,0.0
2010-03-27,2,한화 이글스,2,전근표,0.0
2010-03-27,2,한화 이글스,3,김태완,0.0
2010-03-27,2,한화 이글스,4,최진행,0.0
2010-03-27,2,한화 이글스,5,이영우,0.0
2010-03-27,2,한화 이글스,6,송광민,0.0
2010-03-27,2,한화 이글스,7,정원석,0.0
2010-03-27,2,한화 이글스,8,신경현,0.0
2010-03-27,2,한화 이글스,9,이대수,0.0
2010-03-27,2,SK 와이번스,1,정근우,0.0
2010-03-27,2,SK 와이번스,2,박재상,0.0
2010-03-27,2,SK 와이번스,3,김재현,0.0
2010-03-27,2,SK 와이번스,4,박정권,0.0
2010-03-27,2,SK 와이번스,5,최정,0.0
2010-03-27,2,SK 와이번스,6,나주환,0.0
2010-03-27,2,SK 와이번스,7,김강민,0.0
2010-03-27,2,SK 와이번스,8,박경완,0.0
2010-03-27,2,SK 와이번스,9,조동화,0.0
2010-03-27,3,넥센 히어로즈,1,정수성,0.0
2010-03-27,3,넥센 히어로즈,2,김민우,0.0
2010-03-27,3,넥센 히어로즈,3,클락,0.0
