date,game_no,team,order,name,avg
2024-03-23,1,한화 이글스,1,정은원,0.0
2024-03-23,1,한화 이글스,2,페라자,0.0
2024-03-23,1,한화 이글스,3,안치홍,0.0
2024-03-23,1,한화 이글스,4,노시환,0.0
2024-03-23,1,한화 이글스,5,채은성,0.0
2024-03-23,1,한화 이글스,6,문현빈,0.0
2024-03-23,1,한화 이글스,7,김강민,0.0
2024-03-23,1,한화 이글스,8,하주석,0.0
2024-03-23,1,한화 이글스,9,최재훈,0.0
2024-03-23,1,LG 트윈스,1,박해민,0.0
2024-03-23,1,LG 트윈스,2,홍창기,0.0
2024-03-23,1,LG 트윈스,3,김현수,0.0
2024-03-23,1,LG 트윈스,4,오스틴,0.0
2024-03-23,1,LG 트윈스,5,오지환,0.0
2024-03-23,1,LG 트윈스,6,문보경,0.0
2024-03-23,1,LG 트윈스,7,박동원,0.0
2024-03-23,1,LG 트윈스,8,문성주,0.0
2024-03-23,1,LG 트윈스,9,신민재,0.0
2024-03-23,2,롯데 자이언츠,1,윤동희,0.0
2024-03-23,2,롯데 자이언츠,2,고승민,0.0
2024-03-23,2,롯데 자이언츠,3,레이예스,0.0
2024-03-23,2,롯데 자이언츠,4,전준우,0.0
2024-03-23,2,롯데 자이언츠,5,노진혁,0.0
2024-03-23,2,롯데 자이언츠,6,유강남,0.0
2024-03-23,2,롯데 자이언츠,7,나승엽,0.0
2024-03-23,2,롯데 자이언츠,8,김민성,0.0
2024-03-23,2,롯데 자이언츠,9,오선진,0.0
2024-03-23,2,SSG 랜더스,1,최지훈,0.0
2024-03-23,2,SSG 랜더스,2,추신수,0.0
2024-03-23,2,SSG 랜더스,3,최정,0.0
2024-03-23,2,SSG 랜더스,4,한유섬,0.0
2024-03-23,2,SSG 랜더스,5,에레디아,0.0
2024-03-23,2,SSG 랜더스,6,박성한,0.0
2024-03-23,2,SSG 랜더스,7,전의산,0.0
2024-03-23,2,SSG 랜더스,8,이지영,0.0
2024-03-23,2,SSG 랜더스,9,김성현,0.0
2024-03-23,3,두산 베어스,1,정수빈,0.0
2024-03-23,3,두산 베어스,2,라모스,0.0
2024-03-23,3,두산 베어스,3,양의지,0.0
2024-03-23,3,두산 베어스,4,김재환,0.0
2024-03-23,3,두산 베어스,5,양석환,0.0
2024-03-23,3,두산 베어스,6,강승호,0.0
2024-03-23,3,두산 베어스,7,허경민,0.0
2024-03-23,3,두산 베어스,8,박준영,0.0
2024-03-23,3,두산 베어스,9,김대한,0.0
2024-03-23,3,NC 다이노스,1,박민우,0.0
2024-03-23,3,NC 다이노스,2,권희동,0.0
2024-03-23,3,NC 다이노스,3,손아섭,0.0
2024-03-23,3,NC 다이노스,4,데이비슨,0.0
2024-03-23,3,NC 다이노스,5,박건우,0.0
2024-03-23,3,NC 다이노스,6,김성욱,0.0
2024-03-23,3,NC 다이노스,7,서호철,0.0
2024-03-23,3,NC 다이노스,8,김형준,0.0
2024-03-23,3,NC 다이노스,9,김주원,0.0
2024-03-23,4,삼성 라이온즈,1,김지찬,0.0
2024-03-23,4,삼성 라이온즈,2,김성윤,0.0
2024-03-23,4,삼성 라이온즈,3,구자욱,0.0
2024-03-23,4,삼성 라이온즈,4,맥키넌,0.0
2024-03-23,4,삼성 라이온즈,5,강민호,0.0
2024-03-23,4,삼성 라이온즈,6,오재일,0.0
2024-03-23,4,삼성 라이온즈,7,류지혁,0.0
2024-03-23,4,삼성 라이온즈,8,전병우,0.0
2024-03-23,4,삼성 라이온즈,9,김영웅,0.0
2024-03-23,4,KT 위즈,1,배정대,0.0
2024-03-23,4,KT 위즈,2,김민혁,0.0
2024-03-23,4,KT 위즈,3,로하스,0.0
2024-03-23,4,KT 위즈,4,박병호,0.0
2024-03-23,4,KT 위즈,5,강백호,0.0
2024-03-23,4,KT 위즈,6,황재균,0.0
2024-03-23,4,KT 위즈,7,장성우,0.0
2024-03-23,4,KT 위즈,8,천성호,0.0
2024-03-23,4,KT 위즈,9,김상수,0.0
2024-03-23,5,키움 히어로즈,1,김혜성,0.0
2024-03-23,5,키움 히어로즈,2,도슨,0.0
2024-03-23,5,키움 히어로즈,3,임지열,0.0
2024-03-23,5,키움 히어로즈,4,최주환,0.0
2024-03-23,5,키움 히어로즈,5,김휘집,0.0
2024-03-23,5,키움 히어로즈,6,김동헌,0.0
2024-03-23,5,키움 히어로즈,7,송성문,0.0
2024-03-23,5,키움 히어로즈,8,이형종,0.0
2024-03-23,5,키움 히어로즈,9,이재상,0.0
2024-03-23,5,KIA 타이거즈,1,박찬호,0.0
2024-03-23,5,KIA 타이거즈,2,김도영,0.0
2024-03-23,5,KIA 타이거즈,3,소크라테스,0.0
2024-03-23,5,KIA 타이거즈,4,최형우,0.0
2024-03-23,5,KIA 타이거즈,5,김선빈,0.0
2024-03-23,5,KIA 타이거즈,6,이우성,0.0
2024-03-23,5,KIA 타이거즈,7,황대인,0.0
2024-03-23,5,KIA 타이거즈,8,김태군,0.0
2024-03-23,5,KIA 타이거즈,9,최원준,0.0
2024-03-24,1,한화 이글스,1,정은원,0.0
2024-03-24,1,한화 이글스,2,페라자,0.5
2024-03-24,1,한화 이글스,3,안치홍,0.0
2024-03-24,1,한화 이글스,4,노시환,0.0
2024-03-24,1,한화 이글스,5,채은성,0.5
2024-03-24,1,한화 이글스,6,문현빈,0.0
2024-03-24,1,한화 이글스,7,하주석,0.333
2024-03-24,1,한화 이글스,8,이재원,0.0
2024-03-24,1,한화 이글스,9,임종찬,0.0
2024-03-24,1,LG 트윈스,1,박해민,0.5
2024-03-24,1,LG 트윈스,2,홍창기,0.25
2024-03-24,1,LG 트윈스,3,김현수,0.333
2024-03-24,1,LG 트윈스,4,오스틴,0.2
2024-03-24,1,LG 트윈스,5,오지환,0.25
2024-03-24,1,LG 트윈스,6,문보경,0.2
2024-03-24,1,LG 트윈스,7,박동원,0.333
2024-03-24,1,LG 트윈스,8,문성주,0.333
2024-03-24,1,LG 트윈스,9,신민재,0.5
2024-03-24,2,롯데 자이언츠,1,윤동희,0.5
2024-03-24,2,롯데 자이언츠,2,고승민,0.25
2024-03-24,2,롯데 자이언츠,3,레이예스,0.4
2024-03-24,2,롯데 자이언츠,4,전준우,0.2
2024-03-24,2,롯데 자이언츠,5,노진혁,0.333
2024-03-24,2,롯데 자이언츠,6,김민성,0.25
2024-03-24,2,롯데 자이언츠,7,나승엽,0.5
2024-03-24,2,롯데 자이언츠,8,유강남,0.0
2024-03-24,2,롯데 자이언츠,9,박승욱,0.0
2024-03-24,2,SSG 랜더스,1,최지훈,0.667
