date,game_no,team,order,name,avg
2016-04-01,1,KIA 타이거즈,1,오준혁,0.0
2016-04-01,1,KIA 타이거즈,2,김주형,0.0
2016-04-01,1,KIA 타이거즈,3,김주찬,0.0
2016-04-01,1,KIA 타이거즈,4,필,0.0
2016-04-01,1,KIA 타이거즈,5,이범호,0.0
2016-04-01,1,KIA 타이거즈,6,김원섭,0.0
2016-04-01,1,KIA 타이거즈,7,김다원,0.0
2016-04-01,1,KIA 타이거즈,8,백용환,0.0
2016-04-01,1,KIA 타이거즈,9,김민우,0.0
2016-04-01,1,NC 다이노스,1,박민우,0.0
2016-04-01,1,NC 다이노스,2,김성욱,0.0
2016-04-01,1,NC 다이노스,3,나성범,0.0
2016-04-01,1,NC 다이노스,4,테임즈,0.0
2016-04-01,1,NC 다이노스,5,박석민,0.0
2016-04-01,1,NC 다이노스,6,이호준,0.0
2016-04-01,1,NC 다이노스,7,이종욱,0.0
2016-04-01,1,NC 다이노스,8,손시헌,0.0
2016-04-01,1,NC 다이노스,9,김태군,0.0
2016-04-01,2,한화 이글스,1,정근우,0.0
2016-04-01,2,한화 이글스,2,장민석,0.0
2016-04-01,2,한화 이글스,3,이성열,0.0
2016-04-01,2,한화 이글스,4,김태균,0.0
2016-04-01,2,한화 이글스,5,로사리오,0.0
2016-04-01,2,한화 이글스,6,최진행,0.0
2016-04-01,2,한화 이글스,7,신성현,0.0
2016-04-01,2,한화 이글스,8,조인성,0.0
2016-04-01,2,한화 이글스,9,하주석,0.0
2016-04-01,2,LG 트윈스,1,임훈,0.0
2016-04-01,2,LG 트윈스,2,정주현,0.0
2016-04-01,2,LG 트윈스,3,박용택,0.0
2016-04-01,2,LG 트윈스,4,이병규,0.0
2016-04-01,2,LG 트윈스,5,히메네스,0.0
2016-04-01,2,LG 트윈스,6,정성훈,0.0
2016-04-01,2,LG 트윈스,7,이천웅,0.0
2016-04-01,2,LG 트윈스,8,유강남,0.0
2016-04-01,2,LG 트윈스,9,강승호,0.0
2016-04-01,3,KT 위즈,1,박경수,0.0
2016-04-01,3,KT 위즈,2,이대형,0.0
2016-04-01,3,KT 위즈,3,유한준,0.0
2016-04-01,3,KT 위즈,4,김상현,0.0
2016-04-01,3,KT 위즈,5,이진영,0.0
2016-04-01,3,KT 위즈,6,윤요섭,0.0
2016-04-01,3,KT 위즈,7,김지열,0.0
2016-04-01,3,KT 위즈,8,박기혁,0.0
2016-04-01,3,KT 위즈,9,김연훈,0.0
2016-04-01,3,SK 와이번스,1,이명기,0.0
2016-04-01,3,SK 와이번스,2,고메즈,0.0
2016-04-01,3,SK 와이번스,3,최정,0.0
2016-04-01,3,SK 와이번스,4,정의윤,0.0
2016-04-01,3,SK 와이번스,5,박정권,0.0
2016-04-01,3,SK 와이번스,6,이재원,0.0
2016-04-01,3,SK 와이번스,7,김강민,0.0
2016-04-01,3,SK 와이번스,8,박재상,0.0
2016-04-01,3,SK 와이번스,9,김성현,0.0
2016-04-01,4,두산 베어스,1,허경민,0.0
2016-04-01,4,두산 베어스,2,정수빈,0.0
2016-04-01,4,두산 베어스,3,민병헌,0.0
2016-04-01,4,두산 베어스,4,에반스,0.0
