date,game_no,team,order,name,avg
2021-04-03,5,삼성 라이온즈,1,박해민,0.0
2021-04-03,5,삼성 라이온즈,2,김상수,0.0
2021-04-03,5,삼성 라이온즈,3,구자욱,0.0
2021-04-03,5,삼성 라이온즈,4,피렐라,0.0
2021-04-03,5,삼성 라이온즈,5,이원석,0.0
2021-04-03,5,삼성 라이온즈,6,강민호,0.0
2021-04-03,5,삼성 라이온즈,7,김헌곤,0.0
2021-04-03,5,삼성 라이온즈,8,이학주,0.0
2021-04-03,5,삼성 라이온즈,9,김호재,0.0
2021-04-03,5,키움 히어로즈,1,이용규,0.0
2021-04-03,5,키움 히어로즈,2,프레이타스,0.0
2021-04-03,5,키움 히어로즈,3,이정후,0.0
2021-04-03,5,키움 히어로즈,4,박병호,0.0
2021-04-03,5,키움 히어로즈,5,서건창,0.0
2021-04-03,5,키움 히어로즈,6,김수환,0.0
2021-04-03,5,키움 히어로즈,7,김혜성,0.0
2021-04-03,5,키움 히어로즈,8,박동원,0.0
2021-04-03,5,키움 히어로즈,9,송우현,0.0
2021-04-04,1,KIA 타이거즈,1,최원준,0.0
2021-04-04,1,KIA 타이거즈,2,김선빈,0.0
2021-04-04,1,KIA 타이거즈,3,터커,0.0
2021-04-04,1,KIA 타이거즈,4,최형우,0.0
2021-04-04,1,KIA 타이거즈,5,나지완,0.0
2021-04-04,1,KIA 타이거즈,6,류지혁,0.0
2021-04-04,1,KIA 타이거즈,7,김호령,0.0
2021-04-04,1,KIA 타이거즈,8,한승택,0.0
2021-04-04,1,KIA 타이거즈,9,박찬호,0.0
2021-04-04,1,두산 베어스,1,허경민,0.0
2021-04-04,1,두산 베어스,2,페르난데스,0.0
2021-04-04,1,두산 베어스,3,박건우,0.0
2021-04-04,1,두산 베어스,4,김재환,0.0
2021-04-04,1,두산 베어스,5,양석환,0.0
2021-04-04,1,두산 베어스,6,박세혁,0.0
2021-04-04,1,두산 베어스,7,오재원,0.0
2021-04-04,1,두산 베어스,8,김재호,0.0
2021-04-04,1,두산 베어스,9,정수빈,0.0
2021-04-04,2,롯데 자이언츠,1,안치홍,0.0
2021-04-04,2,롯데 자이언츠,2,손아섭,0.0
2021-04-04,2,롯데 자이언츠,3,전준우,0.0
2021-04-04,2,롯데 자이언츠,4,이대호,0.0
2021-04-04,2,롯데 자이언츠,5,정훈,0.0
2021-04-04,2,롯데 자이언츠,6,추재현,0.0
2021-04-04,2,롯데 자이언츠,7,김준태,0.0
2021-04-04,2,롯데 자이언츠,8,한동희,0.0
2021-04-04,2,롯데 자이언츠,9,마차도,0.0
2021-04-04,2,SSG 랜더스,1,최지훈,0.0
2021-04-04,2,SSG 랜더스,2,로맥,0.0
2021-04-04,2,SSG 랜더스,3,추신수,0.0
2021-04-04,2,SSG 랜더스,4,최정,0.0
2021-04-04,2,SSG 랜더스,5,최주환,0.0
2021-04-04,2,SSG 랜더스,6,한유섬,0.0
2021-04-04,2,SSG 랜더스,7,오태곤,0.0
2021-04-04,2,SSG 랜더스,8,이재원,0.0
2021-04-04,2,SSG 랜더스,9,박성한,0.0
2021-04-04,3,LG 트윈스,1,홍창기,0.0
2021-04-04,3,LG 트윈스,2,라모스,0.0
2021-04-04,3,LG 트윈스,3,김현수,0.0
2021-04-04,3,LG 트윈스,4,이형종,0.0
2021-04-04,3,LG 트윈스,5,채은성,0.0
2021-04-04,3,LG 트윈스,6,김민성,0.0
2021-04-04,3,LG 트윈스,7,유강남,0.0
2021-04-04,3,LG 트윈스,8,정주현,0.0
2021-04-04,3,LG 트윈스,9,오지환,0.0
2021-04-04,3,NC 다이노스,1,이명기,0.0
2021-04-04,3,NC 다이노스,2,박민우,0.0
2021-04-04,3,NC 다이노스,3,나성범,0.0
2021-04-04,3,NC 다이노스,4,양의지,0.0
2021-04-04,3,NC 다이노스,5,알테어,0.0
2021-04-04,3,NC 다이노스,6,권희동,0.0
2021-04-04,3,NC 다이노스,7,박석민,0.0
2021-04-04,3,NC 다이노스,8,강진성,0.0
2021-04-04,3,NC 다이노스,9,김찬형,0.0
2021-04-04,4,한화 이글스,1,정은원,0.0
2021-04-04,4,한화 이글스,2,박정현,0.0
2021-04-04,4,한화 이글스,3,하주석,0.0
2021-04-04,4,한화 이글스,4,힐리,0.0
2021-04-04,4,한화 이글스,5,노시환,0.0
2021-04-04,4,한화 이글스,6,임종찬,0.0
2021-04-04,4,한화 이글스,7,장운호,0.0
2021-04-04,4,한화 이글스,8,최재훈,0.0
2021-04-04,4,한화 이글스,9,유로결,0.0
2021-04-04,4,KT 위즈,1,조용호,0.0
2021-04-04,4,KT 위즈,2,황재균,0.0
2021-04-04,4,KT 위즈,3,알몬테,0.0
2021-04-04,4,KT 위즈,4,강백호,0.0
2021-04-04,4,KT 위즈,5,유한준,0.0
2021-04-04,4,KT 위즈,6,장성우,0.0
2021-04-04,4,KT 위즈,7,박경수,0.0
2021-04-04,4,KT 위즈,8,배정대,0.0
2021-04-04,4,KT 위즈,9,심우준,0.0
2021-04-04,5,삼성 라이온즈,1,박해민,0.5
2021-04-04,5,삼성 라이온즈,2,김상수,0.0
2021-04-04,5,삼성 라이온즈,3,구자욱,0.0
2021-04-04,5,삼성 라이온즈,4,피렐라,0.25
2021-04-04,5,삼성 라이온즈,5,이원석,0.25
2021-04-04,5,삼성 라이온즈,6,강한울,0.0
2021-04-04,5,삼성 라이온즈,7,강민호,0.0
2021-04-04,5,삼성 라이온즈,8,이학주,0.0
2021-04-04,5,삼성 라이온즈,9,김호재,0.333
2021-04-04,5,키움 히어로즈,1,이용규,0.25
2021-04-04,5,키움 히어로즈,2,김혜성,0.333
2021-04-04,5,키움 히어로즈,3,이정후,0.333
2021-04-04,5,키움 히어로즈,4,박병호,0.5
2021-04-04,5,키움 히어로즈,5,서건창,0.25
2021-04-04,5,키움 히어로즈,6,프레이타스,0.0
2021-04-04,5,키움 히어로즈,7,송우현,0.667
2021-04-04,5,키움 히어로즈,8,김수환,0.0
2021-04-04,5,키움 히어로즈,9,박동원,0.0
2021-04-06,1,삼성 라이온즈,1,박해민,0.429
2021-04-06,1,삼성 라이온즈,2,김상수,0.125
2021-04-06,1,삼성 라이온즈,3,구자욱,0.0
2021-04-06,1,삼성 라이온즈,4,피렐라,0.125
2021-04-06,1,삼성 라이온즈,5,김헌곤,0.333
2021-04-06,1,삼성 라이온즈,6,이원석,0.143
2021-04-06,1,삼성 라이온즈,7,이성곤,0.0
2021-04-06,1,삼성 라이온즈,8,이학주,0.333
2021-04-06,1,삼성 라이온즈,9,김민수,0.0
2021-04-06,1,두산 베어스,1,허경민,0.5
2021-04-06,1,두산 베어스,2,페르난데스,0.0
2021-04-06,1,두산 베어스,3,박건우,0.25
2021-04-06,1,두산 베어스,4,김재환,0.0
2021-04-06,1,두산 베어스,5,양석환,0.25
2021-04-06,1,두산 베어스,6,김재호,0.667
2021-04-06,1,두산 베어스,7,오재원,0.333
2021-04-06,1,두산 베어스,8,박세혁,0.0
2021-04-06,1,두산 베어스,9,정수빈,0.5
2021-04-06,2,한화 이글스,1,정은원,0.0
2021-04-06,2,한화 이글스,2,정진호,0.0
2021-04-06,2,한화 이글스,3,하주석,0.0
2021-04-06,2,한화 이글스,4,힐리,0.5
2021-04-06,2,한화 이글스,5,이성열,0.0
2021-04-06,2,한화 이글스,6,김민하,0.0
2021-04-06,2,한화 이글스,7,임종찬,0.25
2021-04-06,2,한화 이글스,8,이해창,0.0
2021-04-06,2,한화 이글스,9,강경학,0.0
2021-04-06,2,SSG 랜더스,1,최지훈,0.5
2021-04-06,2,SSG 랜더스,2,로맥,0.0
2021-04-06,2,SSG 랜더스,3,추신수,0.0
2021-04-06,2,SSG 랜더스,4,최정,0.75
2021-04-06,2,SSG 랜더스,5,최주환,0.75
2021-04-06,2,SSG 랜더스,6,한유섬,0.25
2021-04-06,2,SSG 랜더스,7,오태곤,0.0
2021-04-06,2,SSG 랜더스,8,이재원,0.333
2021-04-06,2,SSG 랜더스,9,박성한,0.0
2021-04-06,3,롯데 자이언츠,1,안치홍,0.4
2021-04-06,3,롯데 자이언츠,2,손아섭,0.0
2021-04-06,3,롯데 자이언츠,3,전준우,0.5
2021-04-06,3,롯데 자이언츠,4,이대호,0.25
2021-04-06,3,롯데 자이언츠,5,정훈,0.5
2021-04-06,3,롯데 자이언츠,6,추재현,0.5
2021-04-06,3,롯데 자이언츠,7,김준태,0.25
2021-04-06,3,롯데 자이언츠,8,한동희,0.0
2021-04-06,3,롯데 자이언츠,9,마차도,0.25
2021-04-06,3,NC 다이노스,1,박민우,0.333
2021-04-06,3,NC 다이노스,2,이명기,0.0
2021-04-06,3,NC 다이노스,3,나성범,0.667
2021-04-06,3,NC 다이노스,4,양의지,0.0
2021-04-06,3,NC 다이노스,5,알테어,0.25
2021-04-06,3,NC 다이노스,6,박석민,0.0
2021-04-06,3,NC 다이노스,7,강진성,0.0
2021-04-06,3,NC 다이노스,8,김찬형,1.0
2021-04-06,3,NC 다이노스,9,권희동,0.0
2021-04-06,4,LG 트윈스,1,홍창기,0.5
2021-04-06,4,LG 트윈스,2,라모스,0.0
2021-04-06,4,LG 트윈스,3,김현수,0.4
2021-04-06,4,LG 트윈스,4,이형종,0.0
2021-04-06,4,LG 트윈스,5,채은성,0.25
2021-04-06,4,LG 트윈스,6,김민성,0.5
2021-04-06,4,LG 트윈스,7,유강남,0.25
2021-04-06,4,LG 트윈스,8,정주현,0.0
2021-04-06,4,LG 트윈스,9,오지환,0.0
2021-04-06,4,KT 위즈,1,조용호,0.0
2021-04-06,4,KT 위즈,2,황재균,0.25
2021-04-06,4,KT 위즈,3,알몬테,0.0
2021-04-06,4,KT 위즈,4,강백호,0.667
2021-04-06,4,KT 위즈,5,유한준,0.0
2021-04-06,4,KT 위즈,6,장성우,0.25
2021-04-06,4,KT 위즈,7,박경수,0.0
2021-04-06,4,KT 위즈,8,배정대,0.5
2021-04-06,4,KT 위즈,9,심우준,0.0
2021-04-06,5,KIA 타이거즈,1,최원준,0.4
2021-04-06,5,KIA 타이거즈,2,김선빈,1.0
2021-04-06,5,KIA 타이거즈,3,터커,0.0
2021-04-06,5,KIA 타이거즈,4,최형우,0.0
2021-04-06,5,KIA 타이거즈,5,나지완,0.667
2021-04-06,5,KIA 타이거즈,6,김민식,0.0
2021-04-06,5,KIA 타이거즈,7,류지혁,0.0
2021-04-06,5,KIA 타이거즈,8,김호령,0.0
2021-04-06,5,KIA 타이거즈,9,박찬호,0.0
2021-04-06,5,키움 히어로즈,1,이용규,0.167
2021-04-06,5,키움 히어로즈,2,김혜성,0.5
2021-04-06,5,키움 히어로즈,3,이정후,0.25
2021-04-06,5,키움 히어로즈,4,박병호,0.375
2021-04-06,5,키움 히어로즈,5,서건창,0.286
2021-04-06,5,키움 히어로즈,6,프레이타스,0.25
2021-04-06,5,키움 히어로즈,7,송우현,0.4
2021-04-06,5,키움 히어로즈,8,김수환,0.333
2021-04-06,5,키움 히어로즈,9,박동원,0.333
2021-04-07,1,삼성 라이온즈,1,박해민,0.455
2021-04-07,1,삼성 라이온즈,2,김상수,0.167
2021-04-07,1,삼성 라이온즈,3,구자욱,0.182
2021-04-07,1,삼성 라이온즈,4,피렐라,0.167
2021-04-07,1,삼성 라이온즈,5,김헌곤,0.25
2021-04-07,1,삼성 라이온즈,6,강민호,0.286
2021-04-07,1,삼성 라이온즈,7,이원석,0.1
2021-04-07,1,삼성 라이온즈,8,이학주,0.3
2021-04-07,1,삼성 라이온즈,9,강한울,0.25
2021-04-07,1,두산 베어스,1,허경민,0.625
2021-04-07,1,두산 베어스,2,페르난데스,0.167
2021-04-07,1,두산 베어스,3,박건우,0.25
2021-04-07,1,두산 베어스,4,김재환,0.167
2021-04-07,1,두산 베어스,5,양석환,0.143
2021-04-07,1,두산 베어스,6,박세혁,0.125
2021-04-07,1,두산 베어스,7,김재호,0.4
2021-04-07,1,두산 베어스,8,오재원,0.167
2021-04-07,1,두산 베어스,9,정수빈,0.333
2021-04-07,2,한화 이글스,1,정은원,0.0
