date,game_no,team,order,name,avg
2020-05-05,1,두산 베어스,1,박건우,0.0
2020-05-05,1,두산 베어스,2,허경민,0.0
2020-05-05,1,두산 베어스,3,오재일,0.0
2020-05-05,1,두산 베어스,4,김재환,0.0
2020-05-05,1,두산 베어스,5,페르난데스,0.0
2020-05-05,1,두산 베어스,6,김재호,0.0
2020-05-05,1,두산 베어스,7,박세혁,0.0
2020-05-05,1,두산 베어스,8,오재원,0.0
2020-05-05,1,두산 베어스,9,정수빈,0.0
2020-05-05,1,LG 트윈스,1,이천웅,0.0
2020-05-05,1,LG 트윈스,2,정근우,0.0
2020-05-05,1,LG 트윈스,3,김현수,0.0
2020-05-05,1,LG 트윈스,4,라모스,0.0
2020-05-05,1,LG 트윈스,5,채은성,0.0
2020-05-05,1,LG 트윈스,6,박용택,0.0
2020-05-05,1,LG 트윈스,7,김민성,0.0
2020-05-05,1,LG 트윈스,8,유강남,0.0
2020-05-05,1,LG 트윈스,9,오지환,0.0
2020-05-05,2,한화 이글스,1,이용규,0.0
2020-05-05,2,한화 이글스,2,정은원,0.0
2020-05-05,2,한화 이글스,3,호잉,0.0
2020-05-05,2,한화 이글스,4,이성열,0.0
2020-05-05,2,한화 이글스,5,송광민,0.0
2020-05-05,2,한화 이글스,6,김태균,0.0
2020-05-05,2,한화 이글스,7,정진호,0.0
2020-05-05,2,한화 이글스,8,최재훈,0.0
2020-05-05,2,한화 이글스,9,하주석,0.0
2020-05-05,2,SK 와이번스,1,노수광,0.0
2020-05-05,2,SK 와이번스,2,고종욱,0.0
2020-05-05,2,SK 와이번스,3,최정,0.0
2020-05-05,2,SK 와이번스,4,로맥,0.0
2020-05-05,2,SK 와이번스,5,한유섬,0.0
2020-05-05,2,SK 와이번스,6,윤석민,0.0
2020-05-05,2,SK 와이번스,7,이재원,0.0
2020-05-05,2,SK 와이번스,8,김창평,0.0
2020-05-05,2,SK 와이번스,9,정현,0.0
2020-05-05,3,NC 다이노스,1,박민우,0.0
2020-05-05,3,NC 다이노스,2,알테어,0.0
2020-05-05,3,NC 다이노스,3,나성범,0.0
2020-05-05,3,NC 다이노스,4,양의지,0.0
2020-05-05,3,NC 다이노스,5,박석민,0.0
2020-05-05,3,NC 다이노스,6,모창민,0.0
2020-05-05,3,NC 다이노스,7,노진혁,0.0
2020-05-05,3,NC 다이노스,8,김성욱,0.0
2020-05-05,3,NC 다이노스,9,이명기,0.0
2020-05-05,3,삼성 라이온즈,1,김헌곤,0.0
